item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
TheTidbit Handmade Jute Sling Bag for Women | Crossbody Bag with Chain Strap | Textured Pattern Design (Yellow)	Looking for a thoughtful and stylish gift for someone special? TheTidbit Handmade Jute Sling Bag for Women is a perfect blend of elegance, practicality, and sustainable fashion. Carefully handcrafted using high-quality natural jute, this crossbody bag features a beautiful textured woven design that adds a unique charm. The premium chain strap allows comfortable shoulder or crossbody wear, making it suitable for daily use as well as special occasions. Designed to be compact yet functional, this jute sling bag easily fits everyday essentials such as a mobile phone, wallet, keys, cosmetics, and small accessories. The secure flap closure keeps belongings protected while enhancing the bag’s stylish appeal. Whether you are gifting it for a birthday, festival, anniversary, or simply as a thoughtful surprise, this handcrafted jute sling bag makes a meaningful and practical gift. It pairs effortlessly with ethnic wear, western outfits, and casual looks, making it a versatile addition to any wardrobe.	0313FK3EKMS	EH-T8P7-B7SV-YELLOW	589	2	2025-03-13 12:54:47 IST		y	1			11				B0F1CXYBWK						B0F1CXYBWK			0	DEFAULT														Migrated Template								799.0
TheTidbit Large Jute Tote Bag for Women - Stylish & Spacious Handbag | Eco-Friendly Shoulder Bag for Shopping, Travel & Daily Use (Purple)	TheTidbit woven jute tote bag is designed for everyday shopping and daily carry needs. Made from woven jute fabric, this tote features a spacious main compartment with a secure zipper closure. The unlined interior keeps the bag lightweight and easy to carry. Double jute fabric handles offer comfortable shoulder support. Suitable for routine errands and casual outings.	0303FR5ZRB3	F4-DD21-RFYQ	799	5	2025-03-03 18:17:50 IST		y	1			11				B0DZ2VYJJ8						B0DZ2VYJJ8			0	DEFAULT														Selected Self-Ship Template								1600.0
TheTidbit Handmade Jute Tote Bag for Women | Eco Friendly Shoulder Handbag with Cute Face Design | Lightweight Handcrafted Jute Purse for Daily Use (Brown)	TheTidbit presents a fun and eco-friendly handmade jute tote bag designed for women who love unique and sustainable fashion. Made from 100% natural jute, this handbag is lightweight, durable, and suitable for everyday use. The bright yellow color combined with a cute handcrafted face design adds a cheerful and trendy touch. Its spacious interior allows you to carry daily essentials such as mobile phone, wallet, keys, cosmetics, water bottle, and more with ease. With strong shoulder handles and a versatile design, this jute tote bag is perfect for office, college, shopping, casual outings, travel, and gifting. Choose TheTidbit jute bags to enjoy eco-conscious fashion with personality and style.	0404FGTYQJJ	FM-R93S-6BFQ-GREY	799	10	2025-04-04 19:11:57 IST		y	1			11				B0F3PFGNNK						B0F3PFGNNK			0	DEFAULT														Migrated Template								1299.0
TheTidbit Handmade Jute Tote Bag for Women | Eco Friendly Shoulder Handbag with Cute Face Design | Lightweight Handcrafted Jute Purse for Daily Use (Yellow)	TheTidbit presents a fun and eco-friendly handmade jute tote bag designed for women who love unique and sustainable fashion. Made from 100% natural jute, this handbag is lightweight, durable, and suitable for everyday use. The bright yellow color combined with a cute handcrafted face design adds a cheerful and trendy touch. Its spacious interior allows you to carry daily essentials such as mobile phone, wallet, keys, cosmetics, water bottle, and more with ease. With strong shoulder handles and a versatile design, this jute tote bag is perfect for office, college, shopping, casual outings, travel, and gifting. Choose TheTidbit jute bags to enjoy eco-conscious fashion with personality and style.	0404FGPCKAD	FM-R93S-6BFQ-YELLOW	799	10	2025-04-04 19:11:57 IST		y	1			11				B0F3PGP4B7						B0F3PGP4B7			0	DEFAULT														Migrated Template								1600.0
TheTidbit Cute Animal Face Straw Handbag, Mini Tote Purse for Women and Girls, Pink | Blue (Pink)	Add a delightful touch to your accessory collection with this charming straw handbag featuring an adorable animal face design. Available in seven lovely colours including mint green, lavender, beige, pink, yellow, sky blue, and turquoise, this mini tote purse combines style with whimsy. The bag showcases cute ear details and a sweet facial expression, making it a perfect companion for casual outings. Crafted from woven straw material, this lightweight and durable handbag offers ample space for your daily essentials while maintaining a compact size. The structured design with sturdy handles makes it convenient for shopping trips or everyday use. Its playful aesthetic appeals to both women and girls who appreciate unique, character-inspired accessories. The zip closure ensures your belongings stay secure, while the versatile size makes it suitable for various occasions, from weekend brunches to casual meetups.	0303FR65FAV	IJ-OTCW-ADNN	399	9	2025-03-03 18:24:20 IST		y	1			11				B0DZ2STBV2						B0DZ2STBV2			0	DEFAULT														Selected Self-Ship Template								1299.0
TheTidbit Cute Animal Face Straw Handbag, Mini Tote Purse for Women and Girls, Pink | Blue (Blue)	Add a delightful touch to your accessory collection with this charming straw handbag featuring an adorable animal face design. Available in seven lovely colours including mint green, lavender, beige, pink, yellow, sky blue, and turquoise, this mini tote purse combines style with whimsy. The bag showcases cute ear details and a sweet facial expression, making it a perfect companion for casual outings. Crafted from woven straw material, this lightweight and durable handbag offers ample space for your daily essentials while maintaining a compact size. The structured design with sturdy handles makes it convenient for shopping trips or everyday use. Its playful aesthetic appeals to both women and girls who appreciate unique, character-inspired accessories. The zip closure ensures your belongings stay secure, while the versatile size makes it suitable for various occasions, from weekend brunches to casual meetups.	0404FGOJAL8	IJ-OTCW-ADNN-PINK	399	10	2025-04-04 17:39:21 IST		y	1			11				B0F3PDFFMS						B0F3PDFFMS			0	DEFAULT														Selected Self-Ship Template								1299.0
TheTidbit Cute Animal Face Straw Handbag, Mini Tote Purse for Women and Girls, Pink | Blue (BROWN)	Add a delightful touch to your accessory collection with this charming straw handbag featuring an adorable animal face design. Available in seven lovely colours including mint green, lavender, beige, pink, yellow, sky blue, and turquoise, this mini tote purse combines style with whimsy. The bag showcases cute ear details and a sweet facial expression, making it a perfect companion for casual outings. Crafted from woven straw material, this lightweight and durable handbag offers ample space for your daily essentials while maintaining a compact size. The structured design with sturdy handles makes it convenient for shopping trips or everyday use. Its playful aesthetic appeals to both women and girls who appreciate unique, character-inspired accessories. The zip closure ensures your belongings stay secure, while the versatile size makes it suitable for various occasions, from weekend brunches to casual meetups.	0101H3UC3MF	IJ-OTCW-BROWN	399	10	2026-01-01 09:37:59 IST		y	1			11				B0GDM4GBK7						B0GDM4GBK7			0	DEFAULT														Selected Self-Ship Template								1299.0
TheTidbit Large Jute Tote Bag for Women - Stylish & Spacious Handbag | Eco-Friendly Shoulder Bag for Shopping, Travel & Daily Use (Purple)	TheTidbit woven jute tote bag is designed for everyday shopping and daily carry needs. Made from woven jute fabric, this tote features a spacious main compartment with a secure zipper closure. The unlined interior keeps the bag lightweight and easy to carry. Double jute fabric handles offer comfortable shoulder support. Suitable for routine errands and casual outings.	0303FROWZQN	QB-A0TD-9LKE	799	5	2025-03-03 22:32:04 IST		y	1			11				B0DZ35FT6N						B0DZ35FT6N			0	DEFAULT														Migrated Template								1600.0
TheTidbit Handmade Jute Sling Bag for Women | Eco Friendly Crossbody Bag | Lightweight Handcrafted Jute Purse for Daily Use, Office & Travel (Pink)	TheTidbit brings you a beautifully handcrafted jute sling bag designed for modern women who love sustainable fashion. Made from 100% natural jute, this eco-friendly sling bag is lightweight, durable, and perfect for everyday use. Its compact yet practical design makes it ideal for carrying essentials like mobile phone, wallet, keys, and cosmetics. The elegant pink shade with handcrafted detailing adds a stylish touch to both casual and ethnic outfits. Equipped with a secure metal lock and adjustable sling strap, this handmade jute crossbody bag offers comfort, safety, and timeless appeal. Whether you are heading to the office, college, shopping, or a casual outing, this jute sling bag is a perfect blend of style and sustainability. Choose TheTidbit jute bags and support eco-friendly living while making a fashion statement.	0404FGL00XB	RW-X6FL-C2P3-PINK	599	7	2025-04-04 17:42:25 IST		y	1			11				B0F3PB5GBF						B0F3PB5GBF			0	DEFAULT														Migrated Template								1199.0
TheTidbit Handmade Jute Sling Bag for Women | Eco Friendly Crossbody Bag | Lightweight Handcrafted Jute Purse for Daily Use, Office & Travel (Purple)	TheTidbit brings you a beautifully handcrafted jute sling bag designed for modern women who love sustainable fashion. Made from 100% natural jute, this eco-friendly sling bag is lightweight, durable, and perfect for everyday use. Its compact yet practical design makes it ideal for carrying essentials like mobile phone, wallet, keys, and cosmetics. The elegant pink shade with handcrafted detailing adds a stylish touch to both casual and ethnic outfits. Equipped with a secure metal lock and adjustable sling strap, this handmade jute crossbody bag offers comfort, safety, and timeless appeal. Whether you are heading to the office, college, shopping, or a casual outing, this jute sling bag is a perfect blend of style and sustainability. Choose TheTidbit jute bags and support eco-friendly living while making a fashion statement.	0404FGODMI4	RW-X6FL-C2P3-PURPLE	599	10	2025-04-04 17:42:25 IST		y	1			11				B0F3PCS9M3						B0F3PCS9M3			0	DEFAULT														Migrated Template								1199.0
TheTidbit Large Jute Tote Bag for Women - Stylish & Eco-Friendly Shoulder Bag | Spacious Handbag for Shopping, Travel & Daily Use (Black)	TheTidbit woven jute tote bag is designed for everyday shopping and daily carry needs. Made from woven jute fabric, this tote features a spacious main compartment with a secure zipper closure. The unlined interior keeps the bag lightweight and easy to carry. Double woven jute handles provide comfortable shoulder support. Suitable for routine errands, shopping trips, and casual outings.	0303FREYSMI	S6-A2OZ-3Q7B	999	5	2025-03-03 19:09:44 IST		y	1			11				B0DZ2VZPQ5						B0DZ2VZPQ5			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Large Jute Tote Bag for Women - Stylish & Eco-Friendly Shoulder Bag | Spacious Handbag for Shopping, Travel & Daily Use (Purple)	TheTidbit woven jute tote bag is designed for everyday shopping and daily carry needs. Made from woven jute fabric, this tote features a spacious main compartment with a secure zipper closure. The unlined interior keeps the bag lightweight and easy to carry. Double woven jute handles provide comfortable shoulder support. Suitable for routine errands, shopping trips, and casual outings.	0303FRP8O6P	S6-A2OZ-3Q7B-PURPLE	799	5	2025-03-03 23:49:45 IST		y	1			11				B0DZ46FW2P						B0DZ46FW2P			0	DEFAULT														Migrated Template								1199.0
TheTidbit Cute Animal Face Straw Handbag, Mini Tote Purse for Women and Girls, Pink | Blue (Grey-White)	Add a delightful touch to your accessory collection with this charming straw handbag featuring an adorable animal face design. Available in seven lovely colours including mint green, lavender, beige, pink, yellow, sky blue, and turquoise, this mini tote purse combines style with whimsy. The bag showcases cute ear details and a sweet facial expression, making it a perfect companion for casual outings. Crafted from woven straw material, this lightweight and durable handbag offers ample space for your daily essentials while maintaining a compact size. The structured design with sturdy handles makes it convenient for shopping trips or everyday use. Its playful aesthetic appeals to both women and girls who appreciate unique, character-inspired accessories. The zip closure ensures your belongings stay secure, while the versatile size makes it suitable for various occasions, from weekend brunches to casual meetups.	0101H3R2N3B	SR-T0BQ-WI73	399	89	2026-01-01 10:13:55 IST		y	1			11				B0GDLMTJXY						B0GDLMTJXY			0	DEFAULT														Selected Self-Ship Template								1299.0
TheTidbit Handmade Jute Sling Bag for Women, Compact Crossbody Purse with Button Closure for Daily Use (Blue)	TheTidbit handmade jute crossbody bags are designed to combine charm, practicality, and eco-conscious craftsmanship. Featuring a playful cat-inspired design and a compact silhouette, these bags make a thoughtful and stylish gift for women and girls. Crafted from durable natural jute, the bag offers a lightweight yet sturdy structure suitable for daily use. The spacious main compartment comfortably holds everyday essentials such as phone, wallet, keys, and small accessories. With an adjustable strap for shoulder or crossbody wear, this versatile jute sling bag is ideal for casual outings, shopping, travel, or gifting on special occasions. Its unique design and sustainable material make it a standout addition to any wardrobe.	0221FYHZI60	TT-JUTE-CB-BLUE-019	599	2	2025-02-21 21:05:19 IST		y	1			11				B0DWGVLG8S						B0DWGVLG8S			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Handmade Jute Crossbody Bag for Women | Elegant & Eco-Friendly Sling Bag | Compact & Lightweight Shoulder Purse for Travel, Shopping & Daily Use (Pink)	TheTidbit handmade jute crossbody bags are designed to combine charm, practicality, and eco-conscious craftsmanship. Featuring a playful cat-inspired design and a compact silhouette, these bags make a thoughtful and stylish gift for women and girls. Crafted from durable natural jute, the bag offers a lightweight yet sturdy structure suitable for daily use. The spacious main compartment comfortably holds everyday essentials such as phone, wallet, keys, and small accessories. With an adjustable strap for shoulder or crossbody wear, this versatile jute sling bag is ideal for casual outings, shopping, travel, or gifting on special occasions. Its unique design and sustainable material make it a standout addition to any wardrobe.	0221FYHV589	TT-JUTE-CB-PINK-019	599	2	2025-02-21 21:05:19 IST		y	1			11				B0DY211JWP						B0DY211JWP			0	DEFAULT														Migrated Template								1199.0
TheTidbit Handmade Jute Embroidered Round Sling Bag for Women & Girls |Boho Crossbody Bag for Casual, College, Travel & Gifting (Blue)	Add a touch of artisanal charm to everyday style with TheTidbit Handmade Jute Embroidered Round Sling Bag. Crafted from durable natural jute, this eco-friendly bag features beautiful hand embroidery, making each piece truly unique.his Blue variant features a floral embroidered design that adds a soft, elegant charm to everyday outfits. The round boho-inspired design pairs effortlessly with casual, ethnic, and fusion outfits, making it suitable for college, shopping, travel, and daily outings. Despite its compact size, the bag offers enough space to carry essentials such as a phone, wallet, keys, and small accessories. Designed with a fixed-length crossbody strap, this sling bag allows comfortable hands-free carrying while maintaining a stylish look. Lightweight yet sturdy, it blends traditional craftsmanship with modern fashion. Perfect for gifting, this handcrafted jute sling bag makes a thoughtful present for birthdays, festive occasions, return gifts, or as an eco-conscious gift for women and girls who appreciate handmade products. Each color variant features a unique hand-embroidered design, adding individuality and artisanal charm to every bag.	0207FTMODJW	TT-JUTE-EMB-032	599	10	2025-02-08 00:32:01 IST		y	1			11				B0DWGWX248						B0DWGWX248			0	DEFAULT	433.2													Selected Self-Ship Template								1199.0
TheTidbit Handmade Jute Embroidered Round Sling Bag for Women & Girls | Boho Crossbody Bag for Casual, College, Travel & Gifting (Light Orange)	Add a touch of artisanal charm to everyday style with TheTidbit Handmade Jute Embroidered Round Sling Bag. Crafted from durable natural jute, this eco-friendly bag features beautiful hand embroidery, making each piece truly unique. This Light Orange variant features a character-inspired embroidered face design, giving it a playful and artistic appeal that makes it perfect for gifting. The round boho-inspired design pairs effortlessly with casual, ethnic, and fusion outfits, making it suitable for college, shopping, travel, and daily outings. Despite its compact size, the bag offers enough space to carry essentials such as a phone, wallet, keys, and small accessories. Designed with a fixed-length crossbody strap, this sling bag allows comfortable hands-free carrying while maintaining a stylish look. Lightweight yet sturdy, it blends traditional craftsmanship with modern fashion. Perfect for gifting, this handcrafted jute sling bag makes a thoughtful present for birthdays, festive occasions, return gifts, or as an eco-conscious gift for women and girls who appreciate handmade products. Each color variant features a unique hand-embroidered design, adding individuality and artisanal charm to every bag.	0303FROQY7T	TT-JUTE-EMB-LIGHT-ORANGE-032	599	10	2025-03-03 22:44:39 IST		y	1			11				B0DZ37ZFY2						B0DZ37ZFY2			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Handmade Jute Embroidered Round Sling Bag for Women & Girls | Boho Crossbody Bag for Casual, College, Travel & Gifting (Pink)	Add a touch of artisanal charm to everyday style with TheTidbit Handmade Jute Embroidered Round Sling Bag. Crafted from durable natural jute, this eco-friendly bag features beautiful hand embroidery, making each piece truly unique.This Pink variant features a charming character-inspired embroidered design, making it especially appealing for gifting and everyday use. The round boho-inspired design pairs effortlessly with casual, ethnic, and fusion outfits, making it suitable for college, shopping, travel, and daily outings. Despite its compact size, the bag offers enough space to carry essentials such as a phone, wallet, keys, and small accessories. Designed with a fixed-length crossbody strap, this sling bag allows comfortable hands-free carrying while maintaining a stylish look. Lightweight yet sturdy, it blends traditional craftsmanship with modern fashion. Perfect for gifting, this handcrafted jute sling bag makes a thoughtful present for birthdays, festive occasions, return gifts, or as an eco-conscious gift for women and girls who appreciate handmade products. Each color variant features a unique hand-embroidered design, adding individuality and artisanal charm to every bag.	0221FYOU343	TT-JUTE-EMB-PINK-032	599	10	2025-02-21 23:07:48 IST		y	1			11				B0DY23KRH1						B0DY23KRH1			0	DEFAULT	433.2													Migrated Template								1199.0
TheTidbit Handmade Jute Embroidered Round Sling Bag for Women & Girls | Eco-Friendly Boho Crossbody Bag for Casual, College, Travel & Gifting (Red)	Add a touch of artisanal charm to everyday style with TheTidbit Handmade Jute Embroidered Round Sling Bag. Crafted from durable natural jute, this eco-friendly bag features beautiful hand embroidery, making each piece truly unique. The round boho-inspired design pairs effortlessly with casual, ethnic, and fusion outfits, making it suitable for college, shopping, travel, and daily outings. Despite its compact size, the bag offers enough space to carry essentials such as a phone, wallet, keys, and small accessories. Designed with a fixed-length crossbody strap, this sling bag allows comfortable hands-free carrying while maintaining a stylish look. Lightweight yet sturdy, it blends traditional craftsmanship with modern fashion. Perfect for gifting, this handcrafted jute sling bag makes a thoughtful present for birthdays, festive occasions, return gifts, or as an eco-conscious gift for women and girls who appreciate handmade products. Each color variant features a unique hand-embroidered design, adding individuality and artisanal charm to every bag.	0303FRK30PR	TT-JUTE-EMB-RED-032	599	20	2025-03-03 22:44:39 IST		y	1			11				B0DZ32MRLR						B0DZ32MRLR			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Handmade Evil Eye Sling Bag, Jute Crossbody Purse, Round Design, Multiple Colours	Introducing a charming and culturally-inspired accessory - the handmade jute evil eye sling bag that perfectly blends style with tradition. Each bag features a distinctive circular design with concentric circles forming the protective 'nazar' motif, crafted meticulously from durable jute material. Available in delightful colour combinations including yellow, pink, blue, and black straps, these bags add a perfect boho-chic touch to any outfit. The compact round shape makes it ideal for carrying essentials while the adjustable strap ensures comfortable wear during shopping trips or casual outings. The unique evil eye pattern isn't just decorative - it's a conversation starter that connects modern fashion with age-old protective symbolism. Perfect for fashion-forward individuals who appreciate artisanal craftsmanship with a cultural twist, this versatile sling bag complements both traditional and contemporary attire. Its thoughtful size and lightweight construction make it an excellent choice for daily use or travel adventures.	0207FTIWFZJ	TT-JUTE-EVILEYE-033	599	10	2025-02-08 00:37:53 IST		y	1			11				B0DWH5Z912						B0DWH5Z912			0	DEFAULT														Selected Self-Ship Template								899.0
